name,baifenbai,gongsiname,wages,plac,datetime
(BSCE)高级嵌入式软件应用工程师,0%,Siemens Ltd. Ch,面议,北京,招聘中
(BSCE)新产品导入项目经理(TPMT63444),0%,Siemens Ltd. Ch,面议,北京,招聘中
知名美资控制器公司聘采购项目经理（急聘）,0%,Michael Page,面议,北京,招聘中
Receptionist -老牌美国律所,0%,Michael Page,面议,北京,招聘中
M-Consumer Healthcare Tech(SAP MM)_SH/BJ,0%,普华永道中天会计师事务所(特殊普通合伙)北京分所,30001-50000,北京,招聘中
IT support Engineer (OSS),65%,塔塔信息技术(中国)股份有限公司上海分公司,8001-10000,北京,招聘中
Recruitment Consultant-Michael Page,0%,Michael Page,面议,北京,招聘中
3D-Sales Manager-全球质检领导企业,0%,Michael Page,面议,北京,招聘中
财务部顾问,0%,北京麦当劳食品有限公司,8001-10000,北京-东城区,招聘中
财税法律信息产品负责人,67%,励德爱思唯尔信息技术(北京)有限公司,面议,北京,招聘中
法律产品顾问,0%,励德爱思唯尔信息技术(北京)有限公司,面议,北京,招聘中
YHJ Accountant 优护佳财务会计(004222),0%,United Family Hospitals & Cl,面议,北京,招聘中
Finance Cashier财务出纳(003665),0%,United Family Hospitals & Cl,面议,北京-朝阳区,招聘中
Oncology Nurse 肿瘤中心护士(003641),0%,United Family Hospitals & Cl,面议,北京,招聘中
HR Operation Officer(004150),0%,United Family Hospitals & Cl,面议,北京-朝阳区,招聘中
Future Talent- Production Engineer,0%,利乐中国 Tetra Pak,8000-10000,北京-大兴区,招聘中
Senior Pharmacist 药剂师(003646),0%,United Family Hospitals & Cl,面议,北京,招聘中
Business Development Manager,0%,励德爱思唯尔信息技术(北京)有限公司,面议,北京,招聘中
500强外企招聘电工/空调工（颐堤港）,0%,仲量联行,4001-6000,北京,招聘中
客户经理（知识产权IP产品）,0%,励德爱思唯尔信息技术(北京)有限公司,面议,北京,招聘中
Senior Engineering Manager,0%,仲量联行,30001-50000,北京-海淀区,招聘中
Java Developer,50%,友邦创新资讯科技（北京）有限公司 AIA ,15001-20000,北京,招聘中
SENIOR SALES MANAGER,0%,励德爱思唯尔信息技术(北京)有限公司,面议,北京,招聘中
售后技术支持工程师-泵阀流体,0%,上海天奎投资管理有限公司,10001-15000,北京,招聘中
Admin Specialist 行政专员,0%,医科达(北京)医疗器械有限公司,4001-6000,北京-朝阳区,招聘中
技术采购员,0%,北京科锐国际人力资源股份有限公司,12000-18000,北京,招聘中
Senior Structural Engineer,0%,蒂森克虏伯中国,面议,北京,招聘中
R&D Manager( Suppression related),0%,Michael Page,面议,北京,招聘中
Audit Associate (China)/审计师/ US GAAP,0%,"Malone Bailey, LLP",8001-10000,北京,招聘中
Senior Associate for Trademark,0%,北京联德知识产权代理有限公司,20001-30000,北京,招聘中
爱立信 --  财务支持 Support Services,0%,北京外企德科人力资源服务上海有限公司,6001-8000,北京,招聘中
Sales Speicalist1,0%,Michael Page,面议,北京,招聘中
Android Developer,0%,瞬联讯通科技(北京)有限公司,12000-24000,北京,招聘中
Marketing Specialist/微信公众号主编,0%,苏州UL美华认证有限公司广州分公司,面议,北京,招聘中
临床监察员for Chiltern-A Covance company,0%,科文斯医药研发(北京)有限公司,10001-15000,北京,招聘中
消费行业研究员-亚洲对冲基金,0%,Michael Page,面议,北京,招聘中
RA Expert 注册专家，欧美动物医药,0%,上海天奎投资管理有限公司,10001-15000,北京,招聘中
"Account Manager五百强欧美企业,需防腐涂料",0%,上海天奎投资管理有限公司,20001-30000,北京,招聘中
欧美品牌， 壁挂炉/暖通/空调销售（零售）,0%,上海天奎投资管理有限公司,8000-10000,北京,招聘中
产品经理/product/技术/Technical,0%,上海天奎投资管理有限公司,20001-30000,北京,招聘中
java 工程师（英文简单沟通）,0%,凯捷中国,13000-18000,北京,招聘中
FESCO代500强外企招聘AP（英文佳）,0%,北京外企人力资源服务有限公司,8001-10000,北京,招聘中
Assistant to Head of Market Access,0%,拜耳集团,面议,北京,招聘中
北京分公司-车险-客户主任,0%,中怡保险经纪有限责任公司,8001-10000,北京-朝阳区,招聘中
Physicist 物理师（加速管/微波）,0%,医科达(北京)医疗器械有限公司,8000-16000,北京,招聘中
Executive Assistant,0%,北京盛世华纳投资管理有限公司,15001-20000,北京,招聘中
Vehicle Management FSK,0%,戴姆勒大中华区投资有限公司,面议,北京,招聘中
外资公司诚聘高级临床研究专员,0%,百川集英(北京)咨询有限公司,10001-15000,北京,招聘中
Team Assistant,83%,麦肯光明广告有限公司,8001-10000,北京,招聘中
薪资专员 Payroll Specialist,0%,英孚教育,8000-10000,北京,招聘中
服务器硬件工程师 （能看懂系统英文优先）,93%,北京首天诚远科技有限公司,8001-10000,北京,招聘中
人事专员,0%,天冰造雪设备(三河)有限公司,8001-10000,北京,招聘中
Interconnect Design Engineer,0%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
Mechanical Design Engineer,100%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
Board Power Designer,0%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
Industrial Designer,60%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
Energy System Developer,0%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
Thermal Design Engineer,0%,瞬联讯通科技(北京)有限公司,10000-20000,北京,招聘中
中国区电磁&涡街业务拓展专家-FSG-北京,0%,"Emerson Process Management Co.,Ltd艾默生过程控制有限公司",面议,北京,招聘中
Head of M&A,100%,山东应仕才企业管理咨询有限公司,100001-150000,北京,招聘中
